,Du 04/08/2025 Au 10/08/2025,,,,,,,,,,,,,,,,,
VOLUME,"9,23","22,34","15,49","20,1",0,"18,11","17,8","103,07",,,,,,,,,,
Du 08/09/2025 Au 14/09/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,Mat > JOG 1H  Apm > JOG 40 ,Sv2 >                2 x 6 r2 (3'25/km) & 4 x 4 r1'30 (3'15/km)   ,REPOS,Mat > JOG 40.              Apm > 1600 / 2 x 1200 / 2 x 800 & 400 r1/2 tW (90 > 95%) . ,JOG 1H ,Mat > JOG 40.      Apm > MUSCU & 6 x 120 r120,SL 15K > 3 x 3K r3 (Sv1) ,,,,,,,,,,,
Chronos ,,,,"1600 : 5'14 ~3'16/km
1200 : 3'50 ~3'11/km & 3'48 ~3'09/km
800 : 2'29 ~3'06/km & 2'26 ~3'02/km
400 : 1'00 ~2'30/km ",,,,,,,,,,,,,,
ZONE 1 (E),"22,1","7,75",,"15,07","12,94","10,7","9,16","77,72","77,11847589",,,,,,,,,
ZONE 2 (Seuils) ,,"8,56",,"5,6",,,"7,38","21,54","21,37328835",,,,,,,,,
ZONE 3 (Supra max) ,,,,"0,8",,"0,72",,"1,52","1,508235761",,,,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,,,
VOLUME,"22,1","16,31",0,"21,47","12,94","11,42","16,54","100,78",,,,,,,,,,
Du 15/09/2025 Au 21/09/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,Mat > JOG 1H  Apm > JOG 40 & 6 x 150 Côtes  ,TEMPO >         15 / 10 / 5 (3'20 > 3'00/km),MUSCU,Mat > JOG 40.              Apm > 5 x 1200 r1'30 (~3'15/km) & 2 x 400 r2 ,JOG 40',Mat > JOG 1H.           Apm> MUSCU & 6 x 150 ,SL 20K > ACTIF 1H (~4'00/km) ,,,,,,,,,,,
Chronos ,,"15' : 3'20/km
10' : 3'14/km
 5' : 3'02/km",,"1e : 3'53 ~3'14/km 
2e : 3'56 ~3'16/km
3e : 3'56 ~3'16/km
4e : 3'54 ~3'14/km
5e : 3'53 ~3'14/km
400 : 1'05 & 1'03",,,"1h : 3'53/km
~157bpm",,,,,,,,,,,
ZONE 1 (E),"18,42","6,35","1,14","14,62","8,75","10,4","18,65","78,33","81,42411642",,,,,,,,,
ZONE 2 (Seuils) ,,"7,61",,6,,,,"13,61","14,14760915",,,,,,,,,
ZONE 3 (Supra max) ,,"1,66",,"0,8",,,,"2,46","2,557172557",,,,,,,,,
VITESSE (FR),"0,9",,,,,"0,9",,"1,8","1,871101871",,,,,,,,,
VOLUME,"19,32","15,62","1,14","21,42","8,75","11,3","18,65","96,2",,,,,,,,,,
Du 22/09/2025 Au 28/09/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,HT 30',90% >               4 x 3 r2 (3'15/km),JOG 40',RYTHME >.      4 x 400m (~1'06/04) r2 ,JOG 1h,JOG 40 & 6 x 30/30 (T10+)  ,LAMBERSART > 10K ,,,,,,,,,,,
Chronos ,,,,"1 : 1'06 & 2 : 1'04
2 : 1'03 & 4 : 1'02",,,32min31s,,,,,,,,,,,
ZONE 1 (E),,"6,92","8,07","6,16","10,69","8,1","6,1","46,04","73,67578813",,,,,,,,,
ZONE 2 (Seuils) ,,"3,86",,,,"0,99",10,"14,85","23,76380221",,,,,,,,,
ZONE 3 (Supra max) ,,,,"1,6",,,,"1,6","2,560409666",,,,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,,,
VOLUME,0,"10,78","8,07","7,76","10,69","9,09","16,1","62,49",,,,,,,,,,
Du 29/09/2025 Au 05/10/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,Mat > JOG 1H  Apm > CÔTES 6 x 150  ,1600 - 800 - 400 (3'00 > 2'40/km) rW , JOG 1H ,JOG 1H ,REPOS,JOG 40 & 3 x 300 r100 marche,INTERCLUBS 3000m ,,,,,,,,,,,
Chronos / Score ,,"1600 : 2'58/km
800 : 2'47/km
400 : 2'30/km.   Score 120%",Score 97%,Score 102%,,,9min11,,,,,,,,,,,
ZONE 1 (E),"21,21","6,07","9,04","11,77",,"8,35","6,38","48,09","69,17433832",,,,,,,,,
ZONE 2 (Seuils) ,,,,,,,,0,0,,,,,,,,,
ZONE 3 (Supra max) ,,"2,8",,,,,3,"2,8","4,027617952",,,,,,,,,
VITESSE (FR),"0,9",,,,,,,"0,9","1,294591484",,,,,,,,,
VOLUME,"22,11","8,87","9,04","11,77",0,"8,35","9,38","69,52",,,,,,,,,,
Du 06/10/2025 Au 12/10/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,JOG 40/1H ,Mat > JOG 40.               Apm > 6 x 4 r1 (~3'15) , JOG 1H  ,20 x 400 r30 (~3'00/km) ,REPOS,MUSCU & 6x 250 r3',20K > 2 x 12 r3 (~3'45 > 3'40/km) ,,,,,,,,,,,
Chronos / Score ,,,,"Bloc 1 → 1:15.0

Bloc 2 → 1:13.4

Bloc 3 → 1:13.1

Bloc 4 → 1:13.1",,"37"" ; 34"" ; 35""
36"" ; 35"" ; 35""","Bloc 1 → 3'48
FC 161
Bloc 2 → 3'40
FC 166 ",,,,,,,,,,,
ZONE 1 (E),"9,79","18,6","8,06","6,76",,"3,84","14,27","61,32","72,45657568",,,,,,,,,
ZONE 2 (Seuils) ,,"7,36",,8,,,"6,45","21,81","25,77100319",,,,,,,,,
ZONE 3 (Supra max) ,,,,,,,,0,0,,,,,,,,,
VITESSE (FR),,,,,,"1,5",,"1,5","1,772421127",,,,,,,,,
VOLUME,"9,79","25,96","8,06","14,76",0,"5,34","20,72","84,63",,,,,,,,,,
Du 13/10/2025 Au 19/10/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,HT 1h30 116bpm,80 > 85% >         15 / 10 / 5 (3'20 > 3'10/km),REPOS,REPOS,REPOS,JOG 40 & MUSCU ,TEMPO 10K ,,,,,,,,,,,
Chronos / Score ,,,,,,,,,,,,,,,,,,
ZONE 1 (E),X,"13,02",,,,"5,23","4,51","22,76","56,85735698",,,,,,,,,
ZONE 2 (Seuils) ,,"6,31",,,,,10,"16,31","40,74444167",,,,,,,,,
ZONE 3 (Supra max) ,,,,,,,,0,0,,,,,,,,,
VITESSE (FR),,,,,,"0,96",,"0,96","2,398201349",,,,,,,,,
VOLUME,0,"19,33",0,0,0,"6,19","14,51","40,03",,,,,,,,,,
Du 20/10/2025 Au 26/10/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,HT 1H       117bpm,JOG 30' & 4 x 1000m ,REPOS,1H > 2 x 6 r1 (Sv1) ,REPOS,RYTHME > 1000 - 800 - 600,JOG 1H (4x5' SV1),,,,,,,,,,,
Chronos / Score ,,"1e : 3'10 
2e : 3'10
3e : 3'14
4e : 3'13",,,,"1e = 2'46
2e = 2'16
3e = 1'36",,,,,,,,,,,,
ZONE 1 (E),X,"6,33",,"6,8",,"5,74","8,37","27,24","64,50390717",,,,,,,,,
ZONE 2 (Seuils) ,,,,"3,2",,,"5,39","8,59","20,34098982",,,,,,,,,
ZONE 3 (Supra max) ,,4,,,,,,4,"9,47193938",,,,,,,,,
VITESSE (FR),,,,,,"2,4",,"2,4","5,683163628",,,,,,,,,
VOLUME,0,"10,33",0,10,0,"8,14","13,76","42,23",,,,,,,,,,
Du 27/10/2025 Au 02/11/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,JOG 40',Sv1 > 4 x 2K (~3'30/km) ,REPOS,VMA (110 %) >. 8 x 1/1 ,CÔTES >          6 x 150 ,SL 2H ,REPOS,,,,,,,,,,,
Chronos / Score ,120bpm,,,,,,,,,,,,,,,,,
ZONE 1 (E),"7,76","5,19",,"6,61","6,16","28,39",,"54,11","82,18408262",,,,,,,,,
ZONE 2 (Seuils) ,,8,,,,,,8,"12,15066829",,,,,,,,,
ZONE 3 (Supra max) ,,,,"2,83",,,,"2,83","4,298298906",,,,,,,,,
VITESSE (FR),,,,,"0,9",,,"0,9","1,366950182",,,,,,,,,
VOLUME,"7,76","13,19",0,"9,44","7,06","28,39",0,"65,84",,,,,,,,,,
Du 03/11/2025 Au 09/11/2025,,,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,,,
SEANCES,JOG 35',SV1 >.                              6 x 1000 r45 (~3'40/km) ,JOG 1H ,VMA >              10 x 400 r1,REPOS ,CÔTES >          6 x 150 ,SV1 > SV2                2 x 12 r1'30 ,,,,,,,,,,,
Chronos réalisés ,143 FC 4'49/km,"1e = 3'33/km
2e = 3'31/km
3e = 3'27/km
4e = 3'29/km
5e = 3'24/km
6e = 3'21/km",5'20/km 133bpm,"1e = 1'07
2-7e = 1'06
8 et 9 = 1'05 & 10e = 59""",,,,,,,,,,,,,,
