,Du 04/08/2025 Au 10/08/2025,,,,,,,,,,,ZONE 1 (E),ZONE SEUILS ,ZONE SUPRA MAX,VITESSE (FR),Total
Du 15/09/2025 Au 21/09/2025,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,JOG 1H (130 bpm) ,Mat > 1H 2 x 3K r2 (~3'35/km).              Apm >  5 x 500 & 6 x 400 r100 (~3'15/km)  ,HT & MUSCU & Footing 125bpm,Mat > JOG 40.              Apm > 4 x 5' r1'30'' (~3'15/km) & 2 x 1 r2 (rapide) ,JOG 1H (130 bpm) ,Mat > JOG 40.      Apm > SPE 5K 4 x 800 rW (3'00/km) & 3 x 400 (Rapide) r2 ,SL 20K > ACTIF 1H (4'00/km) ,,,,,,,,,
Chronos ,,,,,,"2’24-2’24-2’24-2’24
1’04-1’03-1’01",,,,,,,,,,
ZONE 1 (E),12,"20,5","9,5",15,11,"23,7","20,5","112,2","83,35809807",,,,,,,
ZONE 2 (Seuils) ,,11,,"6,3",,,,"17,3","12,85289747",,,,,,,
ZONE 3 (Supra max) ,,,,"0,7",,"4,4",,"5,1","3,789004458",,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,
VOLUME,12,"31,5","9,5",22,11,"28,1","20,5","134,6",,,,,,,,
Du 22/09/2025 Au 28/09/2025,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,JOG 1H (130 bpm) ,Mat > 1H 3 x 6 r1'30'' (Sv1) .           Apm > 90% 6 x 3 r2 (~3'15/km) ,JOG & MUSCU,JOG 1H (130 bpm) ,Mat > JOG 40.     Apm > 8 x 400m (~1'06/04) r2 ,JOG & MUSCU (BOX) ,SL 20K > 3 x 10' (3'40 > 3'25) r3 ,,,,,,,,,
Chronos ,,[AM] 6' @3'53/km 162bpm   6' @3'41/km 149bpm 6' @3'37/km 170bpm   ,,,1’04-1’05-1’03-1’03-1’02-1’03-1’03-1’01,,10' @3'38/km 10' @3'30/km   10'@3'20/km,,,,,,,,,
ZONE 1 (E),"13,5","18,2",10,"18,2",18,18,14,"109,9","83,0060423",,,,,,,
ZONE 2 (Seuils) ,,"10,5",,,,,"8,8","19,3","14,57703927",,,,,,,
ZONE 3 (Supra max) ,,,,,"3,2",,,"3,2","2,416918429",,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,
VOLUME,"13,5","28,7",10,"18,2","21,2",18,"22,8","132,4",,,,,,,,
Du 29/09/2025 Au 05/10/2025,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,JOG 1H (130 bpm) + MUSCU,Mat > 1H 2 x 8' r3 (Sv1)               Apm > 10 x 2 r1 (~3'10 > 05/km) ,REPOS ,SV2 >.               4 x 1600 (~3'15 > 10/km),JOG 1H (130 bpm) ,Mat > JOG 40.      Apm > 6 x 250 r4 (~32/34) ,JOG 1H30 ,,,,,,,,,
Chronos ,,,,,,,,,,,,,,,,
ZONE 1 (E),14,18,0,11,"11,2",19,"10,5","83,7","81,81818182",,,,,,,
ZONE 2 (Seuils) ,,"10,7",,"6,4",,,,"17,1","16,71554252",,,,,,,
ZONE 3 (Supra max) ,,,,,,,,0,0,,,,,,,
VITESSE (FR),,,,,,"1,5",,"1,5","1,46627566",,,,,,,
VOLUME,14,"28,7",0,"17,4","11,2","20,5","10,5","102,3",,,,,,,,
Du 06/10/2025 Au 12/10/2025,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,JOG 1H (130 bpm) & MUSCU,Mat > JOG 40.      Apm > JOG 30 & 4 x 3 r1'30 (3'10/km)  ,TEST VO2max   + Jog recup,JOG 1H > 3 x 6 r3 (Sv1) & 6 LD ,JOG 1H (130 bpm) ,JOG 40 & 6 x 200 r100 (~34'´) ,5K PESSAC ,,,,,,,,,
Chronos ,,,SV1 @3'45 SV2 @3'10 FcMax : 203bpm VO2Max: 73mL/min/kg,,,,15'19'' (2'54-2'56-3'02-3'10-3'08),,,,,,,,,
ZONE 1 (E),"13,5","19,2",8,13,11,6,13,"83,7","81,49951315",,,,,,,
ZONE 2 (Seuils) ,,"3,8",3,5,,,,"11,8","11,48977605",,,,,,,
ZONE 3 (Supra max) ,,,1,,,"1,2",5,"7,2","7,010710808",,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,
VOLUME,"13,5",23,12,18,11,"7,2",18,"102,7",,,,,,,,
Du 13/10/2025 Au 19/10/2025,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,JOG 1H (130 bpm) ,Mat > JOG 40.      Apm > JOG 1H (4 x 5 r1 Sv1)  ,JOG 40 & LD ,Mat > JOG 40.     Apm > 8 x 4' r1 (Sv2) ,JOG 1H (130 bpm) ,JOG 25 - 10 x 120 & RAC,SL 1h30 > 3 x 12' (3'45 > 3'25/km) ,,,,,,,,,
Chronos ,,,,,,,3'40-3'30-3'20,,,,,,,,,
ZONE 1 (E),"10,5","15,7","10,35",13,"11,6",13,"8,4","82,55","74,70588235",,,,,,,
ZONE 2 (Seuils) ,,"6,75",,10,,,10,"26,75","24,2081448",,,,,,,
ZONE 3 (Supra max) ,,,,,,,,0,0,,,,,,,
VITESSE (FR),,,X,,,"1,2",,"1,2","1,085972851",,,,,,,
VOLUME,"10,5","22,45","10,35",23,"11,6","14,2","18,4","110,5",,,,,,,,
Du 20/10/2025 Au 26/10/2025,,,,,,,,,,,,,,,,
,LUNDI,MARDI,MERCREDI,JEUDI,VENDREDI,SAMEDI,DIMANCHE,,,,,,,,,
SEANCES,JOG 1H (130 bpm) & MUSCU,Mat > 2 x 8 r1 (Sv1).           Apm > 10 x 400 r30 (~1'12) ,JOG 40 & LD ,Vo2 >.               6x3' à 3'00/km r1'30 ,JOG 1H (130 bpm),Mat > JOG 40.     Apm > 8 x 400m (~1'06/04) r1'30,JOG 1H ,,,,,,,,,
Chronos ,,avg 1'10 les 400,,205bpm haha,,1'06-1'04-1'05-1'04-1'04-1'03-1'02-1'02,,,,,,,,,,
ZONE 1 (E),10,15,"8,1","7,4",14,22,"12,5",89,"83,64661654",,,,,,,
ZONE 2 (Seuils) ,,"8,2",,,,,,"8,2","7,706766917",,,,,,,
ZONE 3 (Supra max) ,,,,6,,"3,2",,"9,2","8,646616541",,,,,,,
VITESSE (FR),,,,,,,,0,0,,,,,,,
